dataset,question,overall_score,tool_precision,tool_recall,tool_f1,call_efficiency,param_score,answer_score,answer_match_score,num_turns,duration_ms,total_input_tokens,total_output_tokens,total_tokens,total_cost_usd,cost_per_question
gds-algo-questions-basic,I want to run personalised article rank with damping factor 0.8 on Paddington and I want to know the...,0.7222222222222222,1.0,0.5,0.6666666666666666,1.0,1.0,0.5,0.5,4,9696,18,211,65501,0.2673108,0.2673108
gds-algo-questions-basic,I want to know the number of articulation points. Reply strictly with 'points:answer',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,6527,18,53,3293,0.0517565,0.0517565
gds-algo-questions-basic,I want to run Degree Centrality with reverse orientation and get the centrality of Farringdon statio...,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,10558,30,235,1803,0.0672417,0.0672417
gds-algo-questions-basic,I want to run harmonic centrality and get the centrality scores for stations Westminster and Waterlo...,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,9862,30,221,1799,0.06745759999999999,0.06745759999999999
gds-algo-questions-basic,I want to run closeness centrality with the Wasserman-Faust formula and get scores for stations West...,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,10498,30,247,1897,0.06774960000000001,0.06774960000000001
gds-algo-questions-basic,I want to run betweenness centrality and get the centrality scores for Westminster and Waterloo.  An...,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,11852,30,218,1848,0.0679448,0.0679448
gds-algo-questions-basic,"I want to count how in how many triangles do stations named Hatton Cross, and Green Park participate...",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,11194,30,224,1806,0.0671424,0.0671424
gds-algo-questions-basic,I want to run pagerank with Paddington station  as source node and get score for Royal Oak. Answer f...,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,3,6877,18,115,1411,0.0453545,0.0453545
gds-algo-questions-basic,I want to run bridges to find out the number of relationships that disconnect the graph. Give the an...,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,5380,18,70,1200,0.0436656,0.0436656
gds-algo-questions-basic,I want to run eigenvector and get score for Canada water. Answer format should be Canada Water:answe...,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,9551,30,180,1594,0.0660922,0.0660922
gds-algo-questions-basic,I want to know how many weakly connected components algorithm exist in my graph. Reply only with wcc...,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,6322,18,56,8306,0.0701532,0.0701532
gds-algo-questions-basic,I want to know how many strongly connected components exist in my graph. Reply only with scc:answer ...,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,6315,18,55,8297,0.0703926,0.0703926
gds-algo-questions-basic,I want to run k-core decomposition and get the core value for the Stockwell station. Reply strictly ...,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,106887,18,84,15136,0.09608610000000001,0.09608610000000001
gds-algo-questions-basic,I want to know the community modularity scores using community property rail. Reply only with commun...,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,7501,18,82,1264,0.0443666,0.0443666
gds-algo-questions-basic,I want to know the community conductance scores using community property rail. Reply only with commu...,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,5837,18,80,1246,0.043959,0.043959
gds-algo-questions-basic,I want to run louvain for one iteration (and one level) using rail as a seed property  and get the c...,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,3,8169,18,138,19068,0.1117756,0.1117756
gds-algo-questions-basic,I want to run leiden for one level using rail as a seed property and get the community of Paddington...,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,3,7559,18,113,18943,0.11068800000000001,0.11068800000000001
gds-algo-questions-basic,I want to run modularity optimization for one iteration using rail as a seed property and get the co...,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,3,8948,18,119,15313,0.09745619999999999,0.09745619999999999
gds-algo-questions-basic,I want to run (k-1) coloring algorithm and find out how many colours do I need to color my graph. Ru...,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,6237,18,105,8565,0.0716829,0.0716829
gds-algo-questions-basic,I want to run label propagation for one iteration using rail as a seed property and get the communit...,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,3,7791,18,119,15313,0.097533,0.097533
gds-algo-questions-basic,I want to run SLLPA for one iteration and get the community of Kennington. Reply only with Kenningto...,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,3,7566,18,103,23709,0.12845399999999998,0.12845399999999998
gds-algo-questions-basic,I want to run node similarity and find the eight most similar station pairs using cosine similarity....,0.7037037037037036,1.0,0.5,0.6666666666666666,1.0,1.0,0.4444444444444444,0.4444444444444444,3,6729,18,162,2084,0.0483416,0.0483416
gds-algo-questions-basic,I want to run node similarity and find the two most similar stations to Sloane Square from available...,0.9166666666666666,1.0,1.0,1.0,1.0,0.75,1.0,1.0,5,17025,24,126,1636,0.055732199999999996,0.055732199999999996
gds-algo-questions-basic,I want to run filtered knn and find the two most similar stations to Amersham from available station...,0.8888888888888888,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,3,7570,18,231,2095,0.0492421,0.0492421
gds-algo-questions-basic,Execute the Delta-Stepping shortest path algorithm from Covent Garden using travel time as the relat...,0.36685823754789265,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.25,0.75,0.017241379310344827,0.017241379310344827,10,37373,46,769,5349,0.1267875,0.1267875
gds-algo-questions-basic,Please run the Dijkstra shortest path algorithm from Barons Court to South Kensington. I want the an...,0.7777777777777777,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,7,9698,28,270,10412,0.0986717,0.0986717
gds-algo-questions-basic,"I would like to use the Dijkstra single-source shortest path to find all paths from Arsenal, using d...",0.5899897593445981,0.6,1.0,0.7499999999999999,0.375,1.0,0.019969278033794162,0.019969278033794162,20,73886,78,1281,10643,0.4504938,0.4504938
gds-algo-questions-basic,Compute the shortest path from Eastcote to Sudbury Town using A* shortest path. Format the result as...,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,7,11695,28,333,4057,0.07882919999999999,0.07882919999999999
gds-algo-questions-basic,Find the 3 shortest paths from Bank to Waterloo using the Yen's algorithm using time as the relation...,0.5,1.0,0.3333333333333333,0.5,1.0,1.0,0.0,0.0,4,8506,16,335,13029,0.0910305,0.0910305
gds-algo-questions-basic,I would like to find the minimum weighted spanning tree rooted at Hammersmith using time as the rela...,0.46726618705035966,0.25,1.0,0.4,0.125,1.0,0.0017985611510791368,0.0017985611510791368,21,175018,92,1646,7424,0.6996432,0.6996432
gds-algo-questions-basic,"Find the minimum directed steiner tree from Bank to Waterloo, Southwark and Westminster. I want the ...",0.6388888888888888,1.0,0.5,0.6666666666666666,0.5,1.0,0.25,0.25,7,12033,24,432,11256,0.10313280000000001,0.10313280000000001
gds-algo-questions-basic,Compute the prize collecting Steiner tree on my graph in the database with distance as the relations...,0.47222222222222215,0.6,1.0,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.0,0.0,0,37575,106,1402,6174,0.2176043,0.2176043
gds-algo-questions-basic,Execute all pairs shortest paths on the entire graph using time as the relationship weight. Format t...,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
gds-algo-questions-basic,Execute BFS on my database with source station Aldgate and max depth 4. The result data should be pa...,0.7999999999999999,1.0,1.0,1.0,1.0,1.0,0.4,0.4,6,17553,28,897,11399,0.11116329999999999,0.11116329999999999
gds-algo-questions-basic,Execute DFS on my database with source station Aldgate and max depth 4. The result data should be pa...,0.8229166666666666,1.0,1.0,1.0,1.0,1.0,0.46875,0.46875,6,16453,28,837,10613,0.1071156,0.1071156
gds-algo-questions-basic,I want to run the Bellman-Ford algorithm from Chancery Lane using time as the weight property. The r...,0.5089662447257384,1.0,0.3333333333333333,0.5,1.0,1.0,0.02689873417721519,0.02689873417721519,4,17425,20,477,2163,0.0532623,0.0532623
